port,protocol,service,description,category,risk
8081,tcp,http-alt-8081,常见开发 Web 服务端口,开发,normal
8443,tcp,https-alt,HTTPS 备用服务端口,Web,normal
8888,tcp,dev-http-8888,常见开发与 Notebook 服务端口,开发,normal
9000,tcp,dev-http-9000,常见开发与管理服务端口,开发,normal
9090,tcp,prometheus,Prometheus 监控服务,监控,normal
9200,tcp,elasticsearch,Elasticsearch HTTP API,搜索,high
9300,tcp,elasticsearch-node,Elasticsearch 节点通信,搜索,normal
9418,tcp,git,Git 原生传输协议,开发,normal
11211,tcp,memcached,Memcached 缓存服务,缓存,high
15672,tcp,rabbitmq-management,RabbitMQ 管理控制台,消息,high
27017,tcp,mongodb,MongoDB 数据库,数据库,high
31337,tcp,back-orifice,历史恶意远程控制端口,安全敏感,high
32400,tcp,plex,Plex 媒体服务器,流媒体,normal
47808,udp,bacnet,BACnet 楼宇自动化,工业控制,high
